burst_len,min_window,max_window,capacity_blocks,file_size,block_size,num_accesses,repeats,mean_elapsed_sec,stddev_elapsed_sec,mean_throughput_mb_s,mean_hit_rate
4,4,4,4,536870912,4096,8000,5,0.700315,0.009432,44.62,0.5000
4,4,16,16,536870912,4096,8000,5,0.695432,0.005376,44.94,0.5000
4,4,64,64,536870912,4096,8000,5,0.721813,0.005753,43.29,0.5004
4,4,256,256,536870912,4096,8000,5,0.724837,0.004108,43.11,0.5008
16,4,4,4,536870912,4096,8000,5,0.182780,0.006642,170.97,0.8750
16,4,16,16,536870912,4096,8000,5,0.181314,0.001635,172.35,0.8750
16,4,64,64,536870912,4096,8000,5,0.183113,0.000857,170.66,0.8750
16,4,256,256,536870912,4096,8000,5,0.189640,0.002200,164.79,0.8752
64,4,4,4,536870912,4096,8000,5,0.045667,0.000430,684.31,0.9688
64,4,16,16,536870912,4096,8000,5,0.045708,0.000565,683.68,0.9688
64,4,64,64,536870912,4096,8000,5,0.047363,0.001003,659.79,0.9688
64,4,256,256,536870912,4096,8000,5,0.052790,0.001239,591.97,0.9688
256,4,4,4,536870912,4096,8000,5,0.011835,0.000304,2640.41,0.9920
256,4,16,16,536870912,4096,8000,5,0.012198,0.000165,2561.89,0.9920
256,4,64,64,536870912,4096,8000,5,0.013425,0.000656,2327.77,0.9920
256,4,256,256,536870912,4096,8000,5,0.019637,0.000448,1591.40,0.9920
