burst_len,window,capacity_blocks,file_size,block_size,num_accesses,repeats,mean_elapsed_sec,stddev_elapsed_sec,mean_throughput_mb_s,mean_hit_rate
4,0,64,536870912,4096,8000,5,1.448796,0.006321,21.57,0.0002
4,4,64,536870912,4096,8000,5,0.727802,0.006633,42.94,0.5002
4,16,64,536870912,4096,8000,5,0.724937,0.009496,43.11,0.5002
4,64,64,536870912,4096,8000,5,0.736731,0.005350,42.42,0.5002
16,0,64,536870912,4096,8000,5,1.214525,0.015287,25.73,0.0001
16,4,64,536870912,4096,8000,5,0.181126,0.002736,172.53,0.8750
16,16,64,536870912,4096,8000,5,0.184153,0.005281,169.70,0.8749
16,64,64,536870912,4096,8000,5,0.186261,0.003076,167.78,0.8751
64,0,64,536870912,4096,8000,5,0.988691,0.009851,31.61,0.0000
64,4,64,536870912,4096,8000,5,0.046548,0.001597,671.35,0.9688
64,16,64,536870912,4096,8000,5,0.046422,0.001354,673.17,0.9688
64,64,64,536870912,4096,8000,5,0.047081,0.002212,663.75,0.9688
256,0,64,536870912,4096,8000,5,0.924494,0.006285,33.80,0.0000
256,4,64,536870912,4096,8000,5,0.012944,0.000612,2414.20,0.9921
256,16,64,536870912,4096,8000,5,0.013332,0.000449,2343.90,0.9920
256,64,64,536870912,4096,8000,5,0.013204,0.000619,2366.73,0.9920
