# Same runs but with console printk ENABLED (default loglevel 4) -- used only to
# quantify the serial-console printk handicap, which is asymmetric: the split kernel
# emits 3 more probe lines per fault (1400 vs 800 ring-buffer lines over 200 samples).
# Not the published M1 result; see phase1-m1-latency.csv.
pgoff,baseline_console_ns,split_console_ns
129921,1308459,1199348
77307,826718,573924
126804,797727,651816
62943,558370,658737
29153,625324,1455963
1727,601898,509606
96598,1081558,1065891
15431,622562,651198
105095,623944,512373
43144,721220,902529
91882,669083,588574
20091,723262,629470
5537,799075,597947
62292,562665,471507
48951,789192,611896
103515,544138,570683
2681,699345,543758
78051,615148,523024
121230,831481,643875
92057,521018,754243
32063,874488,711172
112707,561736,996912
79117,473759,668949
64166,479678,786334
102790,492738,669579
94505,490161,802118
80639,548997,617406
99696,470650,581212
126351,466122,575941
90885,486121,564487
70665,671796,841199
85965,575890,559215
61000,420527,487194
84947,636750,646821
29702,498420,626911
108981,768337,713793
6163,664675,689457
75442,838714,718363
30892,475342,566281
8497,810084,770818
84038,487153,525478
116278,593170,645333
89846,655295,774220
30230,490793,521522
9076,475837,504654
25212,782030,540236
95041,433394,594868
112497,410376,487647
15472,502114,642143
73473,557858,601154
48179,487169,525318
18112,457055,498888
37901,541036,614934
44083,477824,437638
129118,459033,518497
63718,402824,459230
119206,484715,488808
50371,483409,506611
18088,460258,549181
72923,463910,456391
98400,436643,409620
118463,463536,441397
359,456658,500480
101413,467561,492553
34097,424325,403598
87138,712022,475954
41039,2033673,564962
47369,565777,449056
20895,536687,440772
111785,544879,371941
92427,550998,470872
115328,553152,491171
81735,571974,476237
39845,537176,490853
90796,514582,543323
33259,474781,563988
123940,449995,479314
36498,859794,614749
965,471433,485896
40581,453661,463451
89996,453039,462958
103339,457788,472324
70482,451939,474912
102044,456090,436312
38905,459252,357016
43450,472541,465586
98397,461434,595507
116350,458243,632082
42380,438750,428647
26481,477980,435702
75870,458594,564578
43315,456630,429181
8529,1021007,439479
34427,461156,466364
105572,463893,586995
108271,470648,439958
88386,649060,578602
30289,469240,421156
2295,460425,529294
18757,867749,465204
113933,458641,440762
58060,603234,607303
128187,454000,593815
83228,474367,673070
8084,451415,658511
20093,453625,1555334
69076,468086,529962
38497,409697,949321
1336,454574,481715
40127,449298,494166
4621,536054,598537
28032,460102,446326
3797,661906,573194
108424,514692,545558
32182,465902,525676
92819,468049,504646
71051,468473,427651
51458,537508,487998
94544,569746,413704
99926,563712,457761
46914,527082,1086103
94429,544847,595381
99817,540799,494283
18657,470433,515364
28650,549721,500891
45409,530185,469001
100424,462275,1341860
112148,398686,382406
3973,705009,586832
116806,463770,527169
23240,450994,430480
29649,464737,459766
63717,362274,417991
115523,454268,521845
111107,412951,390947
52715,785369,562597
33077,476142,445287
129126,458195,498031
1078,440652,428921
53217,460043,438801
74808,454746,510768
108073,511763,552544
81758,455208,525075
83017,513076,504027
60755,486127,489637
32575,545896,523190
38437,517906,365147
126477,560192,447076
48460,534419,494468
12850,534620,630569
93055,577731,515504
23383,591742,441734
39118,471896,377510
66734,541626,498105
64787,810224,596071
7756,552461,539016
67507,555789,533678
91801,545284,532518
90202,554815,492615
123772,508118,453193
82177,446492,429453
27882,452823,511302
75400,458157,463363
88596,513730,498644
44976,418969,456830
96309,467242,460945
18221,458844,455679
29143,456690,458864
68656,460174,427049
49928,460509,568101
124313,461899,465804
83666,480358,542021
122541,456436,570263
54264,623046,513195
76035,600665,435658
84681,625575,466159
40463,590520,455670
80762,585351,502476
66408,581688,469322
81010,616685,1002207
10178,704257,656743
370,570094,499524
67380,544777,469626
22633,545272,554344
62522,478579,474492
18059,524185,1138247
78754,474948,1677914
19421,457530,528597
33845,569486,603210
118091,526489,656779
51171,510816,542479
17677,556180,536731
104126,525135,540540
100069,588286,521550
6399,567581,499179
73078,525075,471104
96244,528121,513128
76748,527654,448147
86654,579537,519391
21960,624657,460443
