# Evidence for the host-page-cache confound (discarded runs, kept for the record).
# QEMU was running WITHOUT cache= on the nvme drive, so nvme_disk.raw stayed in the
# HOST page cache; the guest's drop_caches only clears the GUEST cache. All three runs
# used seed 1, i.e. the SAME page set, so each run warmed the host cache for the next.
# run1 = split #6, cold host cache, but concurrent unattended-upgrade (also discarded for that)
# run2 = split #6, host cache warmed by run1
# run3 = baseline #5, host cache warmed by run1+run2
# p50 (warmup dropped): run1 648,583 -> run2 632,897 -> run3 212,336 ns.
# The 3x "baseline wins" is run order, not the kernel. Superseded by phase1-m1-latency.csv.
pgoff,run1_split_ns,run2_split_ns,run3_baseline_ns
129921,1324272,1280141,720060
77307,705918,986287,381209
126804,717952,685469,340943
62943,686938,361039,301040
29153,722282,890346,239811
1727,792712,789570,252592
96598,679919,847225,294421
15431,762515,839026,273887
105095,736004,847855,227779
43144,824782,859972,172974
91882,754042,725597,1295740
20091,659076,374792,224621
5537,720972,636266,215786
62292,622553,663231,213180
48951,804234,922611,231587
103515,664800,1178421,212457
2681,696733,863791,175277
78051,603610,677551,211149
121230,605764,872873,253645
92057,598962,631292,176053
32063,646329,632897,177926
112707,622252,637111,213918
79117,634790,697686,1361893
64166,533200,596943,188949
102790,622556,617394,176970
94505,662291,652548,213360
80639,668430,645867,170574
99696,594583,686798,196530
126351,647064,749204,234781
90885,647146,697074,220768
70665,668020,752298,168971
85965,705859,760930,173423
61000,628894,545102,215307
84947,615164,662651,167889
29702,604332,686511,168436
108981,786680,841426,261965
6163,578018,681199,228403
75442,660577,691121,216263
30892,630427,598651,212028
8497,806749,844068,213080
84038,532591,662433,236870
116278,622208,708713,171923
89846,710422,721231,213912
30230,629594,657809,207317
9076,553381,632980,217069
25212,681352,619676,349951
95041,558708,597759,219392
112497,504868,617040,178998
15472,560922,744827,215580
73473,570739,740672,220053
48179,559988,684710,212642
18112,676111,695479,218252
37901,660488,764742,167602
44083,591523,594264,215866
129118,660611,413908,166887
63718,528940,270248,189093
119206,537137,616728,212846
50371,632458,599556,217679
18088,532521,513655,210576
72923,678854,244364,167611
98400,537304,692888,218563
118463,536654,551814,167387
359,554079,338819,208865
101413,600898,593322,228031
34097,633779,481538,211156
87138,700888,247414,213345
41039,687373,967850,167901
47369,641058,285200,231817
20895,709630,191145,226286
111785,790759,648889,216126
92427,672849,499889,215761
115328,575214,242539,216526
81735,931794,181738,228069
39845,710408,578918,169090
90796,790242,1186066,213709
33259,823826,257842,169637
123940,612580,632933,214355
36498,728371,254877,211881
965,607557,249774,208997
40581,868076,599815,211631
89996,742246,246389,179744
103339,678448,241625,214019
70482,635761,290329,186847
102044,633046,621642,231716
38905,665732,242697,211997
43450,639951,247687,272182
98397,518070,238722,213783
116350,644698,283638,169013
42380,547600,357686,216298
26481,727883,260146,191456
75870,596071,596506,212259
43315,703003,597718,211036
8529,908847,257078,210398
34427,706120,714520,213036
105572,908669,644251,178136
108271,1596386,517016,214202
88386,810946,750470,172111
30289,628546,618985,225023
2295,617461,659066,213943
18757,725925,624488,210728
113933,704814,612945,210419
58060,719531,775986,170033
128187,676859,668194,320063
83228,623179,645975,173507
8084,610699,631811,214605
20093,711522,727325,212051
69076,609895,615755,213714
38497,535995,495358,211837
1336,544834,609596,172194
40127,650883,623008,215093
4621,692936,1234526,207997
28032,612124,832037,404649
3797,696178,726835,349710
108424,652303,730728,374088
32182,648150,849474,372693
92819,725065,734224,359897
71051,802881,764869,374413
51458,794440,651705,212893
94544,812036,614972,245439
99926,873871,639205,205335
46914,803804,724215,238377
94429,766385,645904,261617
99817,785562,684265,182579
18657,533577,567347,217228
28650,638405,589894,167918
45409,664413,1316957,216656
100424,663425,631336,169238
112148,567798,522651,219220
3973,743666,651327,214602
116806,730948,548339,167452
23240,666905,660837,212707
29649,701363,589182,175088
63717,475792,430321,215017
115523,650861,545422,170257
111107,668370,502272,208033
52715,671545,632166,217981
33077,704996,659268,167432
129126,688736,1254208,223678
1078,598759,540357,206473
53217,583151,643714,214813
74808,581669,711189,170407
108073,612984,680700,211491
81758,653231,725368,211696
83017,680440,622968,167255
60755,651448,1097222,220375
32575,533258,619074,166885
38437,511673,495773,213653
126477,656351,1243756,167384
48460,627225,652866,321538
12850,570132,562969,216478
93055,655219,552994,169235
23383,663406,594069,210896
39118,610853,505011,176855
66734,636340,636946,212336
64787,796787,723812,143618
7756,620977,626849,217315
67507,630209,668816,213479
91801,668288,598236,209938
90202,606132,635275,212149
123772,746630,650409,213054
82177,613766,605769,212477
27882,638045,592421,187459
75400,578651,621592,214937
88596,693774,673510,211406
44976,514226,638469,276897
96309,573321,623117,292994
18221,639958,743645,219484
29143,420488,515781,216431
68656,589557,642613,226527
49928,535484,617756,220412
124313,575283,630922,184680
83666,648583,604943,172925
122541,634299,577805,173533
54264,584244,589615,171109
76035,674652,635430,211782
84681,742874,553497,169434
40463,753229,689702,214137
80762,569199,569788,175911
66408,592229,644656,170541
81010,594392,580367,170620
10178,718624,745873,167854
370,716677,710386,254797
67380,637515,604226,174129
22633,636502,582302,216032
62522,509158,556049,168466
18059,664455,643894,171053
78754,635995,653986,183411
19421,657668,592359,174375
33845,684314,651548,212828
118091,633394,546336,170711
51171,607381,628472,212730
17677,667137,584447,182352
104126,620517,606574,171671
100069,697839,685310,180737
6399,667648,683232,169158
73078,661604,628953,211627
96244,664286,663187,168501
76748,568337,667759,217327
86654,649959,762378,174653
21960,619365,589682,169669
