# M1 fault-to-touch latency, 200 samples, seed 1, /mnt/raround/rnd.bin (512 MiB)
# QEMU nvme drive opened with cache=none,aio=native (host page cache bypassed)
# guest console printk suppressed on both kernels (dmesg -n 1)
# apt-daily/apt-daily-upgrade timers disabled+masked in guest (no background apt during runs)
# baseline = 7.1.2-rasplit #5 (RASPLIT probes, no split), split = #6 (probes + block-layer split)
# first 5 rows are warmup and are excluded from the published percentiles.
pgoff,baseline_ns,split_ns
129921,1197199,1235275
77307,741843,657866
126804,771742,590945
62943,765607,625817
29153,819871,671303
1727,718444,531983
96598,684774,677150
15431,683761,732030
105095,660002,583369
43144,699008,676761
91882,638180,574697
20091,739498,675025
5537,650314,607395
62292,432724,448577
48951,716126,622484
103515,545249,622232
2681,731379,528402
78051,612367,475638
121230,821997,628104
92057,575929,653197
32063,682214,528894
112707,634710,576959
79117,536030,458903
64166,701940,491963
102790,669283,477934
94505,559797,476398
80639,546256,497976
99696,539187,599028
126351,565346,585914
90885,543742,452901
70665,729075,578777
85965,657095,580376
61000,566547,463254
84947,778631,677751
29702,574482,630654
108981,933799,824996
6163,746616,654327
75442,679753,672101
30892,537368,527794
8497,776709,754930
84038,539001,448135
116278,693630,554131
89846,754384,698289
30230,583899,588906
9076,489770,587374
25212,721653,648057
95041,432829,456964
112497,441789,427008
15472,544819,469495
73473,531196,460869
48179,542015,579743
18112,526065,672261
37901,777124,631444
44083,587191,512041
129118,548643,473998
63718,451441,474941
119206,508582,490354
50371,466581,509723
18088,455353,430109
72923,428981,533087
98400,422393,422322
118463,473939,490238
359,456108,476019
101413,463702,558686
34097,435682,408134
87138,611133,531415
41039,589254,558521
47369,480201,527865
20895,466621,613225
111785,370191,454961
92427,458375,459137
115328,498155,472907
81735,485478,425801
39845,489273,453667
90796,463573,454521
33259,451235,579932
123940,462993,464751
36498,704860,616652
965,482061,462929
40581,453452,645049
89996,464512,481813
103339,470360,485209
70482,466399,461448
102044,442557,524792
38905,402389,396590
43450,449283,474276
98397,464006,447079
116350,461048,487749
42380,438426,445357
26481,469894,448540
75870,448535,454738
43315,450978,539520
8529,442123,490262
34427,449046,424258
105572,563324,425282
108271,478208,511360
88386,651338,587319
30289,453084,447561
2295,497465,455302
18757,515673,594422
113933,462702,458237
58060,695269,525326
128187,458667,420510
83228,456388,530598
8084,482059,493725
20093,455592,447304
69076,493242,486379
38497,386966,416072
1336,483703,442968
40127,489385,571779
4621,548492,575873
28032,458774,448412
3797,453001,508505
108424,497729,418807
32182,465449,569059
92819,449391,486308
71051,452430,421817
51458,557497,484986
94544,472670,474401
99926,456414,455615
46914,450851,424640
94429,481616,500882
99817,461076,495850
18657,434522,466286
28650,598180,502473
45409,593625,479060
100424,598872,482063
112148,498365,366963
3973,674336,590508
116806,548937,476548
23240,541185,522540
29649,471654,435446
63717,433955,418488
115523,482536,483851
111107,398101,397473
52715,854537,630905
33077,478782,459838
129126,530425,462365
1078,438587,585601
53217,480321,595420
74808,466077,583631
108073,464424,487711
81758,453704,512384
83017,473708,513141
60755,455251,448956
32575,464415,414032
38437,408150,404426
126477,479877,464288
48460,465607,443733
12850,466470,444924
93055,469009,537484
23383,462509,461868
39118,498506,379161
66734,490942,497106
64787,596604,627210
7756,481583,431470
67507,463312,433785
91801,542539,463039
90202,593823,581809
123772,517377,415055
82177,491819,469093
27882,577327,1108947
75400,569398,465022
88596,552654,494227
44976,599564,451607
96309,518284,484511
18221,615372,660613
29143,570248,531240
68656,760969,488458
49928,661172,543535
124313,561817,540510
83666,584149,572858
122541,582602,535919
54264,569894,480293
76035,678478,577790
84681,646399,450823
40463,547693,471386
80762,569937,473211
66408,577833,585208
81010,533030,466238
10178,676212,662038
370,501764,701609
67380,486539,532004
22633,555493,474000
62522,507228,376886
18059,480242,440047
78754,476605,515158
19421,478295,445733
33845,547336,513539
118091,489503,470317
51171,469104,475365
17677,477883,475356
104126,545424,503459
100069,521888,472476
6399,573417,460491
73078,505472,535356
96244,512713,568125
76748,588744,489285
86654,531728,593360
21960,457063,463501
